date,FR_new_cases,IT_new_cases,US_new_cases
2020-09-12,9406,1616,48061
2020-09-13,10561,1501,40820
2020-09-14,7183,1456,33871
2020-09-15,6158,1008,34841
2020-09-16,7852,1229,51473
2020-09-17,9784,1452,24598
2020-09-18,10593,1583,43567
2020-09-19,13215,1907,50209
2020-09-20,13498,1637,40295
2020-09-21,11569,1587,39852
2020-09-22,4298,1350,53153
2020-09-23,10008,1391,38307
2020-09-24,13072,1640,37930
2020-09-25,16096,1786,44213
2020-09-26,15797,1912,55013
2020-09-27,14412,1869,45368
2020-09-28,11123,1766,36248
2020-09-29,4070,1494,32998
2020-09-30,8051,1647,43017
2020-10-01,12845,1850,41982
2020-10-02,13970,2548,44771
2020-10-03,12148,2499,54471
2020-10-04,16972,2843,50659
2020-10-05,12545,2578,34901
2020-10-06,5104,2257,40705
2020-10-07,10489,2677,43062
2020-10-08,18746,3677,48182
2020-10-09,18129,4458,56800
2020-10-10,20339,5372,58082
2020-10-11,26896,5724,54271
2020-10-12,16101,5456,43597
2020-10-13,8505,4619,41653
2020-10-14,12993,5898,52517
2020-10-15,22591,7332,59386
2020-10-16,30621,8803,63785
2020-10-17,25086,10009,70256
2020-10-18,32427,10925,56611
2020-10-19,29837,11705,47843
2020-10-20,13243,9337,60160
2020-10-21,20468,10871,58549
2020-10-22,26676,15199,62978
2020-10-23,41622,16078,72058
2020-10-24,42032,19143,85329
2020-10-25,45422,19640,83056
2020-10-26,52010,21273,59440
2020-10-27,26771,17007,68359
2020-10-28,33417,21989,75129
2020-10-29,36437,24988,78371
2020-10-30,47637,26829,88130
2020-10-31,49215,31079,101273
2020-11-01,32641,31756,78934
2020-11-02,49290,29905,81001
2020-11-03,52518,22253,83883
2020-11-04,36330,28241,92734
2020-11-05,40558,30548,102507
2020-11-06,58046,34502,122436
2020-11-07,60486,37802,130623
2020-11-08,86852,39809,121413
2020-11-09,38619,32614,110693
2020-11-10,20155,25269,138901
2020-11-11,22180,35090,147274
2020-11-12,35879,32961,143306
2020-11-13,33172,37977,153669
